Gamma	Asphericity	Radius	Volume	Area	MorseEnergy	NormalityEn	CircularityEn	TotalOPSEnergy	RMSAngleDeficit
123805	0.00348264	2.21433	41.2367	60.6218	-210	0.0258948	0.0119768	-209.962	0.427293
122104	0.0034826	2.21433	41.2368	60.6218	-210	0.0262554	0.0121434	-209.962	0.42729
120427	0.00348255	2.21433	41.2368	60.6218	-210	0.026621	0.0123123	-209.961	0.427287
118773	0.0034825	2.21433	41.2368	60.6218	-210	0.0269917	0.0124836	-209.961	0.427284
117142	0.00348245	2.21433	41.2369	60.6218	-210	0.0273676	0.0126573	-209.96	0.42728
115533	0.0034824	2.21433	41.2369	60.6218	-210	0.0277487	0.0128334	-209.959	0.427277
113946	0.00348235	2.21434	41.2369	60.6218	-210	0.0281351	0.0130119	-209.959	0.427274
112382	0.0034823	2.21434	41.237	60.6218	-210	0.0285269	0.0131929	-209.958	0.42727
110838	0.00348224	2.21434	41.237	60.6218	-210	0.0289241	0.0133764	-209.958	0.427267
109316	0.00348219	2.21434	41.237	60.6218	-210	0.0293269	0.0135625	-209.957	0.427263
107814	0.00348214	2.21434	41.2371	60.6218	-210	0.0297353	0.0137511	-209.957	0.42726
106334	0.00348208	2.21434	41.2371	60.6218	-210	0.0301494	0.0139424	-209.956	0.427256
104873	0.00348203	2.21434	41.2371	60.6218	-210	0.0305692	0.0141363	-209.955	0.427253
103433	0.00348197	2.21434	41.2372	60.6218	-210	0.0309949	0.014333	-209.955	0.427249
102012	0.00348191	2.21434	41.2372	60.6218	-210	0.0314265	0.0145323	-209.954	0.427245
100611	0.00348186	2.21434	41.2372	60.6218	-210	0.0318642	0.0147345	-209.953	0.427242
99229.5	0.0034818	2.21434	41.2373	60.6218	-210	0.0323079	0.0149394	-209.953	0.427238
97866.7	0.00348174	2.21434	41.2373	60.6218	-210	0.0327578	0.0151472	-209.952	0.427234
96522.5	0.00348168	2.21434	41.2373	60.6218	-210	0.0332139	0.0153578	-209.951	0.42723
95196.9	0.00348162	2.21434	41.2374	60.6218	-210	0.0336765	0.0155714	-209.951	0.427226
93889.4	0.00348155	2.21434	41.2374	60.6218	-210	0.0341454	0.015788	-209.95	0.427222
92599.9	0.00348149	2.21434	41.2374	60.6218	-210	0.0346209	0.0160076	-209.949	0.427218
91328.2	0.00348143	2.21434	41.2375	60.6218	-210	0.035103	0.0162302	-209.949	0.427214
90073.9	0.00348136	2.21434	41.2375	60.6218	-210	0.0355918	0.0164559	-209.948	0.427209
88836.8	0.0034813	2.21434	41.2376	60.6218	-210	0.0360875	0.0166848	-209.947	0.427205
87616.7	0.00348123	2.21434	41.2376	60.6218	-210	0.03659	0.0169168	-209.946	0.427201
86413.3	0.00348116	2.21434	41.2376	60.6218	-210	0.0370995	0.017152	-209.946	0.427196
85226.5	0.0034811	2.21434	41.2377	60.6218	-210	0.0376162	0.0173905	-209.945	0.427192
84056	0.00348103	2.21435	41.2377	60.6218	-210	0.03814	0.0176324	-209.944	0.427187
82901.6	0.00348096	2.21435	41.2378	60.6218	-210	0.0386711	0.0178776	-209.943	0.427183
81763	0.00348089	2.21435	41.2378	60.6218	-210	0.0392096	0.0181261	-209.943	0.427178
80640	0.00348081	2.21435	41.2379	60.6218	-210	0.0397556	0.0183782	-209.942	0.427173
79532.5	0.00348074	2.21435	41.2379	60.6218	-210	0.0403092	0.0186337	-209.941	0.427169
78440.2	0.00348067	2.21435	41.2379	60.6218	-210	0.0408706	0.0188928	-209.94	0.427164
77362.9	0.00348059	2.21435	41.238	60.6218	-210	0.0414397	0.0191555	-209.939	0.427159
76300.4	0.00348051	2.21435	41.238	60.6218	-210	0.0420168	0.0194218	-209.939	0.427154
75252.5	0.00348044	2.21435	41.2381	60.6218	-210	0.0426019	0.0196919	-209.938	0.427149
74218.9	0.00348036	2.21435	41.2381	60.6218	-210	0.0431951	0.0199656	-209.937	0.427144
73199.6	0.00348028	2.21435	41.2382	60.6218	-210	0.0437966	0.0202432	-209.936	0.427139
72194.3	0.0034802	2.21435	41.2382	60.6218	-210	0.0444065	0.0205246	-209.935	0.427133
71202.7	0.00348012	2.21435	41.2383	60.6218	-210	0.0450249	0.02081	-209.934	0.427128
70224.8	0.00348003	2.21435	41.2383	60.6218	-210	0.0456519	0.0210993	-209.933	0.427123
69260.3	0.00347995	2.21435	41.2384	60.6218	-210	0.0462876	0.0213926	-209.932	0.427117
68309.1	0.00347987	2.21435	41.2384	60.6218	-210	0.0469322	0.02169	-209.931	0.427112
67370.9	0.00347978	2.21436	41.2385	60.6218	-210	0.0475857	0.0219915	-209.93	0.427106
66445.7	0.00347969	2.21436	41.2385	60.6218	-210	0.0482484	0.0222972	-209.929	0.4271
65533.1	0.0034796	2.21436	41.2386	60.6218	-210	0.0489202	0.0226071	-209.928	0.427094
64633	0.00347951	2.21436	41.2386	60.6218	-210	0.0496015	0.0229213	-209.927	0.427089
63745.4	0.00347942	2.21436	41.2387	60.6218	-210	0.0502922	0.0232399	-209.926	0.427083
62869.9	0.00347933	2.21436	41.2388	60.6218	-210	0.0509925	0.023563	-209.925	0.427076
62006.4	0.00347924	2.21436	41.2388	60.6218	-210	0.0517026	0.0238905	-209.924	0.42707
61154.8	0.00347914	2.21436	41.2389	60.6218	-210	0.0524226	0.0242225	-209.923	0.427064
60314.9	0.00347904	2.21436	41.2389	60.6218	-210	0.0531526	0.0245591	-209.922	0.427058
59486.5	0.00347895	2.21436	41.239	60.6218	-210	0.0538928	0.0249005	-209.921	0.427051
58669.5	0.00347885	2.21436	41.239	60.6218	-210	0.0546432	0.0252465	-209.92	0.427045
57863.7	0.00347875	2.21436	41.2391	60.6218	-210	0.0554042	0.0255973	-209.919	0.427038
57069	0.00347864	2.21436	41.2392	60.6218	-210	0.0561737	0.025955	-209.918	0.427032
56285.2	0.00347854	2.21437	41.2392	60.6218	-210	0.056956	0.0263157	-209.917	0.427025
55512.2	0.00347844	2.21437	41.2393	60.6218	-210	0.0577491	0.0266813	-209.916	0.427018
54749.8	0.00347833	2.21437	41.2394	60.6218	-210	0.0585533	0.0270521	-209.914	0.427011
53997.9	0.00347822	2.21437	41.2394	60.6218	-210	0.0593687	0.027428	-209.913	0.427004
53256.2	0.00347811	2.21437	41.2395	60.6218	-210	0.0601954	0.0278091	-209.912	0.426997
52524.8	0.003478	2.21437	41.2396	60.6218	-210	0.0610336	0.0281954	-209.911	0.42699
51803.4	0.00347789	2.21437	41.2396	60.6218	-210	0.0618836	0.0285872	-209.909	0.426982
51092	0.00347778	2.21437	41.2397	60.6218	-210	0.0627453	0.0289843	-209.908	0.426975
